prim_cusip,innet,ln_sales,name
"30613",1,4.477621,"FalconStor Software Inc"
"29205",1,4.474651,"en technologies corp"
"62536",1,4.465241,"Multiscience System Pte Ltd"
"89618",1,4.455614,"Trikon Technologies Inc"
"05275",1,4.44717,"Autobytel Inc"
"46061",1,4.433931,"Interplay Productions Inc"
"94110",1,4.428039,"WatchGuard Technologies Inc"
"26760",1,4.412616,"Dynavar Corp"
"86310",1,4.389275,"Stratosphere Partners LLC"
"87263",1,4.384848,"T/R Systems Inc"
"24802",1,4.382677,"DemandTec Inc"
"67071",1,4.327082,"NYFIX Inc"
"86473",1,4.326501,"Success Systems Inc"
"62942",1,4.322927,"NTT Data Corp"
"95698",1,4.320829,"Blue Martini Software Inc"
"17040",1,4.315499,"Chordiant Software Inc"
"92552",1,4.304308,"VIASOFT Inc"
"29287",1,4.272993,"Engineering Animation Inc"
"53012",1,4.26918,"Liberate Technologies"
"30069",1,4.267555,"Excelon Corp"
"74235",1,4.250137,"Project Management Institute"
"21887",1,4.244745,"Corio Inc"
"43735",1,4.236061,"Homeland Security Tech Inc"
"20821",1,4.213845,"Connexus Licensing Inc"
"29644",1,4.210526,"Esker SA"
"87120",1,4.196209,"Sygate Technologies Inc"
"69502",1,4.192424,"PDI"
"67442",1,4.186468,"Object/FX Corp"
"89692",1,4.186301,"Triversity Inc"
"13690",1,4.186194,"Candle Corp"
"23251",1,4.174941,"CyberSource Corp"
"55916",1,4.174264,"Magic Software Enterprises Inc"
"69318",1,4.16888,"PC DOCS Group International"
"40392",1,4.166526,"HS Info-Tech Pte Ltd"
"34954",1,4.159679,"Forte Software Inc"
"74402",1,4.147727,"Progress Interactive"
"67019",1,4.127876,"N2H2 Inc"
"80890",1,4.123693,"Scoreboard Inc"
"22357",1,4.108247,"CoWare Inc"
"17887",1,4.105136,"Ckrush Inc"
"58949",1,4.103833,"Merge Healthcare Inc"
"65337",1,4.096126,"NextPhase Wireless Inc"
"93369",1,4.095777,"Wanderlust Interactive Inc"
"81580",1,4.080178,"Segue Software Inc"
"66996",1,4.07545,"Nuance Communications Inc"
"M8260",1,4.068634,"Scopus Video Networks Ltd"
"59609",1,4.066117,"Meshcom Technologies Inc"
"37675",1,4.063267,"Glam Media Inc"
"28059",1,4.061339,"Edify Corp"
"64093",1,4.050601,"NETcellent System Inc"
"20593",1,4.047043,"Conac Software Corp"
"G9877",1,4.037862,"Yucheng Technologies Ltd"
"46059",1,4.037721,"Internet Initiative Japan Inc"
"16714",1,4.028258,"Allaire Corp"
"31682",1,4.027314,"Figure 8 Wireless Inc"
"59266",1,4.025262,"Metrowerks Corp"
"25392",1,4.007224,"Digital Courier International"
"81628",1,4.006333,"Selectica Inc"
"13125",1,4.004146,"Callus Computer Corp"
"86858",1,3.99399,"SupportSoft Inc"
"26818",1,3.982425,"DynTek Inc"
"35112",1,3.976274,"Fourth Shift Corp"
"M2508",1,3.975223,"ClickSoftware Ltd"
"38316",1,3.973551,"Applix Inc"
"85730",1,3.971159,"State of the Art Inc"
"87833",1,3.970047,"TechLabs Inc"
"25467",1,3.962031,"Discreet Logic Inc"
"21089",1,3.959898,"ALPNET Inc"
"29371",1,3.957704,"Enterprise Group"
"19089",1,3.956882,"Cobec Co Ltd"
"75190",1,3.942455,"Rand A Technology Corp"
"66993",1,3.940533,"Novadigm Inc"
"59494",1,3.923794,"Microsoft-Disk Duplication"
"63245",1,3.921122,"NASCO"
"92856",1,3.915417,"VocalScape Inc"
"10138",1,3.914699,"Bottomline Technologies Inc"
"89668",1,3.912823,"Trintech Group PLC"
"60850",1,3.905462,"Moldflow Corp"
"58393",1,3.900922,"MedcomSoft Inc"
"53592",1,3.893533,"Linktone Ltd"
"23191",1,3.887976,"CyberGuard Corp"
"39917",1,3.885453,"Architel Systems Corp"
"48247",1,3.8771,"KIT digital Inc"
"37989",1,3.853673,"Glu Mobile Inc"
"57665",1,3.853164,"MATERNA GmbH Info & Commun"
"82936",1,3.850403,"Sino Fibre Communications Inc"
"88409",1,3.813881,"Thinweb Com Corp"
"35961",1,3.805284,"Fulcrum Technologies Inc"
"67105",1,3.802588,"OTG Software Inc"
"56059",1,3.802498,"Maingate Corp"
"72702",1,3.802007,"Planet City Corp"
"22564",1,3.801248,"CreoScitex(Creo Products Inc)"
"13214",1,3.790556,"CambridgeSoft Corp"
"68370",1,3.776776,"Open Market Inc"
"12525",1,3.768591,"CFI ProServices Inc"
"89790",1,3.766373,"Trusted Information Systems"
"70553",1,3.762966,"Peerless Systems Corp"
"85491",1,3.752793,"StarHub Internet Pte Ltd"
"23307",1,3.750163,"D-Link Corp"
"46058",1,3.740048,"Internet America Inc"
"71571",1,3.73249,"Pervasive Software Inc"
"45679",1,3.730261,"Infobank International Hldg"
"74032",1,3.728389,"Precision Systems Inc"
"69937",1,3.723522,"ParaSoft Corp"
"74228",1,3.719215,"Prowess Development"
"23210",1,3.691077,"Cyber Ark Software Inc"
"75752",1,3.679233,"Redknee Solutions Inc"
"45875",1,3.669671,"Intelligent Medical Objects"
"20854",1,3.667324,"Consilium Inc"
"18270",1,3.667196,"Clarus Corp"
"50020",1,3.665995,"Kofax Image Products Inc"
"44888",1,3.663305,"i-flex Solutions Ltd"
"00386",1,3.659785,"Absolute Software Corp"
"86343",1,3.631992,"Strohl Systems Group Inc"
"45692",1,3.628917,"Infinity Financial Technology"
"72705",1,3.599802,"PlanetLink Communications Inc"
"68219",1,3.597038,"On Technology Corp"
"53619",1,3.589031,"Lion Bioscience AG"
"46220",1,3.579678,"IneoQuest Technologies Inc"
"98163",1,3.566684,"WorldWerx Inc"
"53814",1,3.541568,"LivePerson Inc"
"45897",1,3.53762,"Intermap Technologies Corp"
"85232",1,3.534825,"Stac Inc"
"62941",1,3.525919,"NTN Communications Inc"
"55646",1,3.52312,"Made2Manage Systems Inc"
"2458",1,3.520697,"AXS-One Inc"
"21684",1,3.520343,"Cooperative Computing Inc"
"42273",1,3.506218,"Helicomm Inc"
"75087",1,3.499956,"Raining Data Corp"
"23791",1,3.497931,"Datawatch Corp"
"29434",1,3.488567,"ePresence Inc"
"15241",1,3.482286,"CentrPort Inc"
"62947",1,3.473363,"NTT Software Corp"
"82617",1,3.471097,"Siebel Sys Inc"
"81733",1,3.462136,"Sequence Design Inc"
"87951",1,3.454801,"Telescan Inc"
"46119",1,3.442211,"Intransa Inc"
"28659",1,3.425922,"eLinear Inc"
"12989",1,3.42537,"Calico Commerce Inc"
"85219",1,3.421327,"Spyglass Inc"
"46564",1,3.407312,"Iterated Systems Inc"
"58998",1,3.390372,"Merge eFilm"
"75381",1,3.372798,"Raptor Systems Inc"
"29331",1,3.347726,"enherent Corp"
"91729",1,3.33381,"UserLand Software Inc"
"87978",1,3.328985,"Template Software Inc"
"74373",1,3.322659,"ProVation Medical Inc"
"74893",1,3.318613,"RDM Corp"
"36384",1,3.306264,"Ansoft Corp"
"23813",1,3.285225,"Dataramp Inc(PC DOS Group)"
"10637",1,3.272985,"Breakaway Solutions Inc"
"58352",1,3.27272,"Mechanical Dynamics Inc"
"55288",1,3.266255,"MGI Software Corp"
"29384",1,3.258327,"Entrust Technologies Inc"
"83367",1,3.257365,"SITA"
"45817",1,3.252697,"ISS"
"45937",1,3.246841,"International Datacasting Corp"
"90474",1,3.228271,"Unify Corp"
"92896",1,3.218516,"Virtual System Solutions Inc"
"36948",1,3.215069,"General Datacomm Inc"
"58282",1,3.204777,"MDwerks Inc"
"54531",1,3.19323,"Award Software International"
"04314",1,3.155084,"Artificial Life Inc"
"92528",1,3.138056,"Versant Corp"
"26660",1,3.130875,"D'gipro Design Automation"
"68397",1,3.125224,"Optika Inc"
"33748",1,3.105618,"First Virtual Communications"
"90327",1,3.083652,"Bindview Development Corp"
"45070",1,3.082781,"I2 Telecom International Inc"
"87104",1,3.059176,"Switchboard Inc"
"22757",1,3.053482,"Crossbeam Systems Inc"
"83402",1,3.043522,"Software AG"
"45291",1,3.032835,"Image Sciences Inc"
"81743",1,3.031534,"Sequoia Software Corp"
"59067",1,2.98654,"Mestrelab Research SL"
"82657",1,2.976397,"Sigma Design Inc"
"87872",1,2.96687,"Technology Modeling Assoc Inc"
"87192",1,2.964448,"Systems Xcellence Inc"
"48213",1,2.948169,"Justsystem Corp"
"59515",1,2.929806,"Microware Systems Corp"
"62472",1,2.927293,"Mphase Technologies Inc"
"49923",1,2.925953,"Knowledge Adventure Inc"
