cusip1,cusip2
"72764","65090"
"04033","42823"
"59491","78440"
"04271","59494"
"85590","03072"
"68389","74141"
"68389","86681"
"15143","53958"
"40094","44932"
"76663","77957"
"87160","98161"
"26870","63985"
"18270","77957"
"74302","82539"
"89058","81180"
"85219","50196"
"10976","62886"
"12999","23333"
"28166","03349"
"75409","68625"
"87192","42218"
"59491","98412"
"00088","22406"
"46120","81427"
"38347","32007"
"37245","77853"
"37245","42823"
"28583","23276"
"89058","81273"
"46053","16965"
"83397","97390"
"45642","90389"
"71907","23758"
"82624","23758"
"71271","74141"
"02364","33735"
"02364","86681"
"4930","90122"
"59491","83569"
"93204","38821"
"48853","55268"
"02364","46575"
"4325","67066"
"59507","78366"
"78389","74912"
"78389","42823"
"59491","86814"
"24570","48292"
"02364","71844"
"02364","25456"
"02364","80451"
"96743","01622"
"77432","54946"
"31747","59018"
"04549","74141"
"25471","65443"
"75390","65443"
"21221","39240"
"02364","64646"
"71907","86736"
"B5628","45814"
"02364","54946"
"02364","44899"
"83169","38020"
"40445","25816"
"59491","25816"
"30090","77510"
"87316","58547"
"59139","02735"
"19235","83401"
"02263","52708"
"20491","29368"
"11141","42823"
"78512","81575"
"46575","14912"
"87895","45438"
"87895","58056"
"62757","88510"
"18270","24712"
"83304","62007"
"59491","59438"
"18270","59438"
"59491","57636"
"18270","57636"
"82617","82980"
"74979","59190"
"44914","48291"
"68397","98399"
"45234","42735"
"45234","53807"
"45234","12589"
"68397","03349"
"98163","56169"
"46575","34537"
"02364","46008"
"20491","00427"
"20491","00442"
"20491","29386"
"59491","98166"
"40425","2553"
"28166","24712"
"10807","46022"
"55916","11899"
"83180","69554"
"63934","69554"
"74339","38480"
"55359","38480"
"83402","42823"
"74437","42823"
"36479","89290"
"36977","89290"
"36479","36958"
"36977","36958"
"82617","45920"
"85219","83569"
"78441","62907"
"30728","11102"
"86255","55377"
"02364","58943"
"75605","73172"
"58440","20449"
"58440","45920"
"60749","47614"
"91533","50196"
"90345","25536"
"80305","92826"
"83608","73173"
"74993","41078"
"30090","76130"
"04314","09773"
"04314","91734"
"87104","22406"
"02364","29016"
"59491","88408"
"02364","42241"
"75605","45920"
"29479","20558"
"60472","45673"
"25467","83570"
"83545","45765"
"00260","37936"
"46032","67016"
"87981","65090"
"52465","20449"
"83171","62982"
"67105","62982"
"50020","62982"
"48347","62982"
"89242","62982"
"25501","10935"
"59491","73727"
"75606","78528"
"88500","54415"
"68292","16276"
"46185","92977"
"92532","75764"
"78462","45920"
"02364","79605"
"92246","42823"
"13000","98888"
"59491","31188"
"04225","97586"
"64114","61981"
"87951","59487"
"17737","45091"
"02364","27864"
"87294","90927"
"98431","83401"
"59491","83401"
"87150","45513"
"30090","26873"
"26795","24277"
"30338","46280"
"59491","83212"
"59491","11102"
"45772","42823"
"45872","88290"
"68389","13911"
"68389","86681"
"45244","79605"
"37984","38821"
"52465","86211"
"52465","22765"
"66993","94974"
"24824","37044"
"88553","13904"
"59491","62942"
"59266","81579"
"85590","71372"
"71915","7903"
"88553","86211"
"05458","9045C"
"05458","90506"
"52769","89623"
"59491","66581"
"59491","45814"
"59491","42823"
"23251","46162"
"02364","78387"
"59491","52464"
"59491","00462"
"59491","904JV"
"75191","29288"
"07857","04637"
"37954","45836"
"92039","45836"
"80409","904JV"
"59491","20449"
"59491","17275"
"59491","58034"
"59491","60795"
"59491","43857"
"59491","43855"
"34634","05359"
"71271","45670"
"93362","82705"
